,SP,PvdD,GL,Denk,PvdA,CU,50PLUS,PVV,D66,CDA,SGP,VVD,FvD
Bezoek aan prostitutee verbieden,0,0,0,1,0,1,0,0,0,1,1,0,0
Leerlingen weigeren vanwege religie,0,0,0,0,0,1,0,0,0,1,1,0,1
Verkoop huis aan belegger verbieden,1,1,1,1,1,1,1,1,1,1,1,1,0
Religieuze kleding verboden publ func.,1,0,0,0,1,0,1,1,0,0,0,1,1
Verplicht 33% vrouwen in top bedrijf,1,1,1,1,1,0,1,0,1,1,0,0,0
Stemmen vanaf 16,0,1,1,0,1,0,0,0,1,0,0,0,0
Regering niet naar WK Qatar in 2022,1,1,1,1,1,1,1,1,1,0,1,0,0
Minder vluchtelingen opnemen,0,0,0,0,0,0,1,1,0,1,1,1,1
Homogenezing strafbaar ,1,1,1,1,1,0,1,1,1,1,0,1,1
Veestapel inkrimpen,1,1,1,1,1,1,1,1,1,0,1,0,0
Compensatie studenten leenstelsel,1,1,1,1,1,1,1,1,1,1,1,0,1
Coffeeshops mogen softdrugs inkopen,1,1,1,0,1,0,1,0,1,0,0,1,1
Autobelasting p/km i.p.v. p/m ,0,1,1,1,1,1,1,0,1,0,1,0,0
Euthanasie toestaan bij voltooid leven,0,1,1,0,1,0,1,0,1,0,0,1,0
Bindend referendum wetten tegenhouden,1,1,0,1,1,1,1,1,1,0,0,0,1
Anticonceptie in basispakket opnemen,1,1,1,1,1,1,1,0,1,0,0,0,0
Nederland situatie Oeigoeren veroordelen,1,1,1,1,1,1,1,0,1,1,1,0,0
Hoger salaris basisschoolleraren,1,1,1,1,1,0,1,1,1,0,0,0,1
Extra betalen korte vluchten,0,1,1,0,1,1,0,0,1,0,1,0,0
Vaccinatiebewijs voor toegang evenement,0,0,0,0,0,0,1,0,1,0,0,1,0
Excuses van NL voor slavernijverleden,1,1,1,1,1,1,0,0,1,0,0,0,0
Hoger loon zorgmedewerkers,1,1,1,1,1,1,1,1,1,0,1,0,1
Meer belasting over vlees,0,1,1,0,0,1,0,0,1,0,0,0,0
Avondklok,1,0,1,0,1,1,1,0,1,1,0,1,0
Op hoger onderwijs vaker les in NLs,0,1,1,0,1,1,1,1,1,1,1,1,1
Meer geld naar ontwikkelingshulp,1,1,1,1,1,1,0,0,1,0,1,0,0
5 dagen wachttijd abortus behouden,1,0,0,0,0,1,0,0,0,1,1,0,0
Siervuurwerk tijdens Oud en Nieuw,1,0,0,0,0,0,0,1,1,1,0,1,1
Investeren in nieuwe kerncentrale,0,0,0,0,0,0,1,1,0,1,1,1,1
Huidige leenstelsel afschaffen,1,1,1,1,1,1,1,1,1,1,1,0,1
Pensioenleeftijd terug naar 65,1,0,0,0,0,0,1,1,0,0,0,0,1
In het klimaatakkoord van Parijs blijven,1,1,1,1,1,1,1,0,1,1,1,1,0